Configuration,S0,K,r,q,sigma,T1,T2,Market date,Source
Paper replication,156.7,150.0,0.0015,0.0233,0.282,0.5,1.0,2021-08-23,"Huang et al. (2021), Table 2"
Week 2 updated baseline,231.0775604248047,150.0,0.0455,0.0233,0.1906247800741619,0.5,1.0,2024-12-30,Week 2 processed data; q retained from paper
