Configuration,European Call,European Put,Chooser Option,Choice Boundary at T1
Paper replication,18.688997498805932,15.373069176074878,29.129924019683912,151.64394321414153
Week 2 updated baseline,82.5254704639645,0.09771707289875131,82.52782127278121,148.34420665389416
