Approach,N,MAE,RMSE,R2,Mean_Error
Persistence baseline,252,0.08558360333136598,0.1206498316095037,-0.8460971689864547,-0.007764975347947986
Selected ML volatility model,252,0.07242372950456098,0.09406861774891133,-0.12225265400057239,-0.042580129596342095
