Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2018-01-02,85.51602935791016,85.57148184634795,84.61294252114149,85.26253140449909,13578800
2018-01-03,85.60317993164062,85.94381841328286,85.14371899210931,85.44474595854275,11901000
2018-01-04,86.82948303222656,87.61782677757108,86.16058070636457,86.28799298761523,12953700
2018-01-05,86.27206420898438,87.23560288759464,85.82613337120587,87.00467268221591,14155000
2018-01-08,86.39947509765625,86.54281087539455,85.76242584651894,86.12076832854065,12466500
2018-01-09,86.83745574951172,87.2993101228466,86.39151879975896,86.57467245194621,13292300
2018-01-10,87.79302215576172,88.15135859156264,87.10819628148904,87.17190242685217,15834500
2018-01-11,88.26285552978516,88.3345264737049,87.6337769878581,88.12748450559089,13676800
2018-01-12,89.7200927734375,89.86342857127254,88.26284650800673,88.90786063594079,18884200
2018-01-16,89.40155792236328,90.32527875329848,88.44599009584942,88.79636780073547,22703300
2018-01-17,89.97489929199219,90.22175906804839,88.63710071577701,89.09896112222852,14940300
2018-01-18,90.18989562988281,90.55619678329909,89.40154589990416,89.79174140981931,14572900
2018-01-19,89.99083709716797,91.049922923903,89.82361301926244,90.7314043423796,18785500
2018-01-22,91.04195404052734,91.08973060734755,89.58470799899263,89.71212027764896,12475700
2018-01-23,90.94640350341797,91.2888164407667,90.26157762872052,90.5163961349787,12320800
2018-01-24,92.10901641845703,92.37179972057432,91.30474908824729,91.4640083817624,15904500
2018-01-25,92.13289642333984,92.50716241234636,91.6391890126096,92.40364448840177,13510000
2018-01-26,92.62662506103516,92.62662506103516,91.54364477434058,92.13291149419251,13883900
2018-01-29,92.53104400634766,93.44679998391335,92.38770823529083,92.38770823529083,11679900
2018-01-30,91.66309356689453,92.84959181098277,91.5595756245758,91.9975417577887,14279100
2018-01-31,92.10901641845703,92.89736632480891,91.7029033973877,92.09309291924656,13141400
2018-02-01,93.06458282470703,93.16013596289145,91.95771442148872,92.18863855566913,13800600
2018-02-02,91.00212860107422,93.10438242090072,90.8508280516162,92.7619695447361,16477300
2018-02-05,86.63836669921875,91.24898753965525,82.80015999575345,89.98285994858294,30097600
2018-02-06,89.274169921875,89.56880633156274,84.8944720189479,85.08558440815851,33114800
2018-02-07,89.87934112548828,91.13750391783044,88.50968955562941,88.82821416553755,21878300
2018-02-08,85.90576934814453,90.07046598801698,85.87391627518852,90.07046598801698,27425800
2018-02-09,87.62581634521484,88.43008989084618,84.59188192530024,86.87728416955676,28188000
2018-02-12,88.9795150756836,89.76786490911924,87.6496812642386,88.52561944825946,18043300
2018-02-13,89.52896881103516,90.02268228974039,88.23098808643124,88.64506585137448,16358200
2018-02-14,91.59937286376953,91.79048521744444,89.60860145987868,89.68823110096388,15186900
2018-02-15,91.98161315917969,92.36383790605908,90.95437427949304,92.1647607450815,12130200
2018-02-16,91.32067108154297,92.42753955667239,91.17733528960198,91.21715315000046,13214300
