Split,Observations,Start_Date,End_Date,Mean_Target_Volatility,Mean_Target_Price
train,1156,2018-03-29,2022-10-28,0.274493777729053,49.37276343452162
purged_train_validation,20,2022-10-31,2022-11-28,0.21224675658461836,29.44990873328276
validation,232,2022-11-29,2023-10-31,0.20123324385822308,23.884524327829205
purged_validation_test,20,2023-11-01,2023-11-29,0.10400258050866688,11.857900460372575
test,252,2023-11-30,2024-11-29,0.2156172262017542,45.46525699718528
