Date,Close,High,Low,Open,Volume,Volume_Outlier,VIX_Close,VIX_Close_Outlier,Treasury_Rate,Treasury_Rate_Outlier,Daily_Return,Log_Return,Rolling_Volatility_20D,Moving_Average_20D,Moving_Average_50D,Price_Momentum_20D,Interest_Rate_Momentum,VIX_Return,VIX_JPM_Correlation_20D,Daily_Return_Outlier,Rolling_Volatility_20D_Outlier,Price_Momentum_20D_Outlier
2018-01-02,85.51602935791016,85.57148184634795,84.61294252114149,85.26253140449909,13578800,False,9.770000457763672,False,2.46,False,,,,,,,,,,False,False,False
2018-01-03,85.60317993164062,85.94381841328286,85.14371899210931,85.44474595854275,11901000,False,9.149999618530272,False,2.44,False,0.0010191138946094025,0.001018594950589757,,,,,-0.020000000000000018,-0.06345965303826784,,False,False,False
2018-01-04,86.82948303222656,87.61782677757108,86.16058070636457,86.28799298761523,12953700,False,9.220000267028809,False,2.46,False,0.014325438629326781,0.014223799070849018,,,,,0.020000000000000018,0.007650344417148736,,False,False,False
2018-01-05,86.27206420898438,87.23560288759464,85.82613337120587,87.00467268221591,14155000,False,9.220000267028809,False,2.47,False,-0.006419695289851091,-0.006440390151005645,,,,,0.010000000000000231,0.0,,False,False,False
2018-01-08,86.39947509765625,86.54281087539455,85.76242584651894,86.12076832854065,12466500,False,9.520000457763672,False,2.49,False,0.0014768498915620487,0.0014757604212850767,,,,,0.020000000000000018,0.03253798069916325,,False,False,False
2018-01-09,86.83745574951172,87.2993101228466,86.39151879975896,86.57467245194621,13292300,False,10.079999923706056,False,2.55,False,0.0050692513045991205,0.005056445907821994,,,,,0.05999999999999961,0.0588234704847832,,False,False,False
2018-01-10,87.79302215576172,88.15135859156264,87.10819628148904,87.17190242685217,15834500,False,9.81999969482422,False,2.55,False,0.011004081107654606,0.010943976734098476,,,,,0.0,-0.025793673695410413,,False,False,False
2018-01-11,88.26285552978516,88.3345264737049,87.6337769878581,88.12748450559089,13676800,False,9.880000114440918,False,2.54,False,0.005351602695597535,0.005337333755053606,,,,,-0.009999999999999787,0.006110022554106864,,False,False,False
2018-01-12,89.7200927734375,89.86342857127254,88.26284650800673,88.90786063594079,18884200,False,10.15999984741211,False,2.55,False,0.016510198258434805,0.01637538675451515,,,,,0.009999999999999787,0.0283400536161873,,False,False,False
2018-01-16,89.40155792236328,90.32527875329848,88.44599009584942,88.79636780073547,22703300,False,11.65999984741211,False,2.54,False,-0.003550317896779176,-0.003556635232161383,,,,,-0.009999999999999787,0.14763779749288775,,False,False,False
2018-01-17,89.97489929199219,90.2217590680484,88.63710071577701,89.09896112222852,14940300,False,11.90999984741211,False,2.57,False,0.006413102667928827,0.006392626223414519,,,,,0.029999999999999805,0.021440823608199766,,False,False,False
