Approach,Model,N,MAE,RMSE,R2,Mean_Error
Approach 1,Random Forest volatility + BSM,252,3.138367595973744,4.320338550807385,0.9574877769428216,-1.2781284325671831
Approach 2,Bounded time-value regression direct proxy pricing,252,2.8500832414053434,4.540413263931448,0.9530463863150842,-2.368890549309336
Week 4 BSM baseline,Trailing 20-day volatility,252,3.5697770181411235,4.870567432473994,0.945969700367933,-0.5299036687429908
