Check,Passed,Detail
Standalone BSM finite,True,82.52782127278121
Best ML finite,True,82.4338145128342
Error band ordered,True,"[51.25570645093815, 94.13015130188256]"
Volatility spike increases BSM,True,1.2726001155848365
Required rate shock is 2 percentage points,True,0.020000000000000004
ML contract restriction,True,K=160 rejected for ML
Test rows preserved,True,252
All model metrics finite,True,MAE/RMSE/R2
